Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Year,Month,operating_profit
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,$45.00 ,500,"$225,000 ",67500,30%,Outlet,2020,8,67500
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,$40.00 ,650,"$260,000 ",130000,50%,Outlet,2020,8,130000
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,$30.00 ,900,"$270,000 ",94500,35%,Outlet,2020,8,94500
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,900,"$360,000 ",126000,35%,Outlet,2020,8,126000
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,$35.00 ,725,"$253,750 ",88813,35%,Outlet,2020,8,88813
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,625,"$250,000 ",112500,45%,Outlet,2020,8,112500
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,$45.00 ,525,"$236,250 ",70875,30%,Outlet,2020,8,70875
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,$40.00 ,800,"$320,000 ",160000,50%,Outlet,2020,8,160000
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,$30.00 ,925,"$277,500 ",97125,35%,Outlet,2020,8,97125
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,925,"$370,000 ",129500,35%,Outlet,2020,8,129500
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,$35.00 ,775,"$271,250 ",94938,35%,Outlet,2020,8,94938
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,700,"$280,000 ",126000,45%,Outlet,2020,8,126000
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,$45.00 ,600,"$270,000 ",81000,30%,Outlet,2020,8,81000
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,$40.00 ,950,"$380,000 ",190000,50%,Outlet,2020,8,190000
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ",133000,35%,Outlet,2020,8,133000
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ",149625,35%,Outlet,2020,8,149625
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,$40.00 ,800,"$320,000 ",112000,35%,Outlet,2020,8,112000
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,750,"$300,000 ",135000,45%,Outlet,2020,8,135000
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ",87750,30%,Outlet,2020,8,87750
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,$50.00 ,"1,000","$500,000 ",250000,50%,Outlet,2020,8,250000
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ",133000,35%,Outlet,2020,8,133000
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ",149625,35%,Outlet,2020,8,149625
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,$40.00 ,"1,100","$440,000 ",154000,35%,Outlet,2020,8,154000
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,700,"$280,000 ",126000,45%,Outlet,2020,8,126000
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,$45.00 ,700,"$315,000 ",94500,30%,Outlet,2020,8,94500
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,$50.00 ,975,"$487,500 ",243750,50%,Outlet,2020,8,243750
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,$40.00 ,925,"$370,000 ",129500,35%,Outlet,2020,8,129500
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,925,"$416,250 ",145688,35%,Outlet,2020,8,145688
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,$40.00 ,"1,100","$440,000 ",154000,35%,Outlet,2020,9,154000
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,650,"$260,000 ",117000,45%,Outlet,2020,9,117000
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ",87750,30%,Outlet,2020,9,87750
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,$50.00 ,900,"$450,000 ",225000,50%,Outlet,2020,9,225000
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,$45.00 ,850,"$382,500 ",133875,35%,Outlet,2020,9,133875
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,850,"$382,500 ",133875,35%,Outlet,2020,9,133875
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,$50.00 ,900,"$450,000 ",157500,35%,Outlet,2020,9,157500
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,625,"$312,500 ",140625,45%,Outlet,2020,9,140625
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,$45.00 ,625,"$281,250 ",84375,30%,Outlet,2020,9,84375
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,$55.00 ,850,"$467,500 ",233750,50%,Outlet,2020,9,233750
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,$45.00 ,800,"$360,000 ",126000,35%,Outlet,2020,9,126000
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,800,"$360,000 ",126000,35%,Outlet,2020,9,126000
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,$50.00 ,750,"$375,000 ",131250,35%,Outlet,2020,9,131250
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,600,"$300,000 ",135000,45%,Outlet,2020,9,135000
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,$45.00 ,575,"$258,750 ",77625,30%,Outlet,2020,9,77625
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,$55.00 ,750,"$412,500 ",206250,50%,Outlet,2020,9,206250
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,$45.00 ,900,"$405,000 ",141750,35%,Outlet,2020,10,141750
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,900,"$405,000 ",141750,35%,Outlet,2020,10,141750
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,$50.00 ,825,"$412,500 ",144375,35%,Outlet,2020,10,144375
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,675,"$337,500 ",151875,45%,Outlet,2020,10,151875
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ",87750,30%,Outlet,2020,10,87750
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,$55.00 ,850,"$467,500 ",233750,50%,Outlet,2020,10,233750
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,$45.00 ,950,"$427,500 ",149625,35%,Outlet,2020,10,149625
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ",149625,35%,Outlet,2020,10,149625
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,$50.00 ,850,"$425,000 ",148750,35%,Outlet,2020,10,148750
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,700,"$350,000 ",157500,45%,Outlet,2020,10,157500
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ",87750,30%,Outlet,2020,10,87750
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,$55.00 ,900,"$495,000 ",247500,50%,Outlet,2020,10,247500
West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,$40.00 ,775,"$310,000 ",108500,35%,Outlet,2020,11,108500
West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,$50.00 ,775,"$387,500 ",77500,20%,Outlet,2020,11,77500
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,$50.00 ,775,"$387,500 ",135625,35%,Outlet,2020,11,135625
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,625,"$312,500 ",93750,30%,Outlet,2020,11,93750
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,$55.00 ,575,"$316,250 ",158125,50%,Outlet,2020,11,158125
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,$50.00 ,775,"$387,500 ",58125,15%,Outlet,2020,11,58125
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,$40.00 ,825,"$330,000 ",115500,35%,Outlet,2020,11,115500
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,$50.00 ,725,"$362,500 ",72500,20%,Outlet,2020,11,72500
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,$50.00 ,725,"$362,500 ",126875,35%,Outlet,2020,11,126875
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,$50.00 ,575,"$287,500 ",86250,30%,Outlet,2020,11,86250
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,$55.00 ,500,"$275,000 ",137500,50%,Outlet,2020,11,137500
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,$50.00 ,700,"$350,000 ",52500,15%,Outlet,2020,11,52500
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,$50.00 ,850,"$425,000 ",148750,35%,Outlet,2020,11,148750
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,$60.00 ,700,"$420,000 ",84000,20%,Outlet,2020,11,84000
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,$60.00 ,700,"$420,000 ",147000,35%,Outlet,2020,11,147000
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,600,"$360,000 ",108000,30%,Outlet,2020,12,108000
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,$65.00 ,500,"$325,000 ",162500,50%,Outlet,2020,12,162500
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,$60.00 ,700,"$420,000 ",63000,15%,Outlet,2020,12,63000
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,$60.00 ,875,"$525,000 ",183750,35%,Outlet,2020,12,183750
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,675,"$438,750 ",87750,20%,Outlet,2020,12,87750
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,$65.00 ,725,"$471,250 ",164938,35%,Outlet,2020,12,164938
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,625,"$375,000 ",112500,30%,Outlet,2020,12,112500
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,$65.00 ,525,"$341,250 ",170625,50%,Outlet,2020,12,170625
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,$80.00 ,700,"$560,000 ",84000,15%,Outlet,2020,12,84000
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,$60.00 ,900,"$540,000 ",216000,40%,Outlet,2020,12,216000
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,750,"$487,500 ",121875,25%,Outlet,2021,1,121875
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,$65.00 ,750,"$487,500 ",195000,40%,Outlet,2021,1,195000
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,650,"$390,000 ",136500,35%,Outlet,2021,1,136500
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,$65.00 ,550,"$357,500 ",196625,55%,Outlet,2021,1,196625
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,$80.00 ,725,"$580,000 ",116000,20%,Outlet,2021,1,116000
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,$60.00 ,975,"$585,000 ",234000,40%,Outlet,2021,1,234000
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,825,"$536,250 ",134063,25%,Outlet,2021,1,134063
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"$536,250 ",214500,40%,Outlet,2021,1,214500
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,700,"$420,000 ",147000,35%,Outlet,2021,1,147000
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,$65.00 ,575,"$373,750 ",205563,55%,Outlet,2021,1,205563
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,$80.00 ,875,"$700,000 ",140000,20%,Outlet,2021,1,140000
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,$60.00 ,"1,025","$615,000 ",215250,35%,Outlet,2021,1,215250
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,875,"$568,750 ",113750,20%,Outlet,2021,1,113750
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"$536,250 ",187688,35%,Outlet,2021,1,187688
West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,725,"$435,000 ",130500,30%,Outlet,2021,1,130500
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,$65.00 ,775,"$503,750 ",251875,50%,Outlet,2021,1,251875
West Gear,1128299,2021-01-17,West,California,San Francisco,Women's Apparel,$80.00 ,775,"$620,000 ",93000,15%,Outlet,2021,1,93000
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,$65.00 ,975,"$633,750 ",221813,35%,Outlet,2021,1,221813
West Gear,1128299,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,$70.00 ,925,"$647,500 ",129500,20%,Outlet,2021,1,129500
West Gear,1128299,2021-01-20,West,California,San Francisco,Women's Street Footwear,$65.00 ,800,"$520,000 ",182000,35%,Outlet,2021,1,182000
West Gear,1128299,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,$65.00 ,750,"$487,500 ",146250,30%,Outlet,2021,1,146250
West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,$75.00 ,750,"$562,500 ",281250,50%,Outlet,2021,1,281250
West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,$80.00 ,725,"$580,000 ",87000,15%,Outlet,2021,1,87000
